players,mean turns,median turns,standard deviation
1,41.483,42.0,9.9563904604
2,36.111,37.0,8.88069135822
3,32.85,33.0,7.84445664148
4,31.263,32.0,7.66927838848
5,29.245,29.0,7.18212886267
6,28.313,28.0,6.91672111625
7,27.718,28.0,6.5143285149
8,26.837,27.0,6.47444445493
9,26.087,26.0,6.2330916085
10,25.58,26.0,6.12907823412
11,24.998,25.0,5.99649864504
12,24.84,25.0,5.70038595185
13,24.264,24.0,5.88950795907
14,23.952,24.0,5.63983120315
15,23.584,24.0,5.53307726315
16,23.181,23.0,5.62016360972
17,23.329,24.0,5.38857671375
18,22.379,23.0,5.29427606005
19,22.168,22.0,5.24154328419
20,22.003,22.0,5.19951834308
21,21.718,22.0,5.15853428795
22,21.848,22.0,5.18410030767
23,21.481,22.0,4.97208598075
24,21.515,22.0,5.04319095415
25,21.092,21.0,5.0232993142
26,21.038,21.0,5.13152569905
27,20.912,21.0,4.91571520737
28,20.358,20.0,4.76967881518
29,20.497,21.0,4.77974800591
30,20.497,21.0,4.77556185176
31,20.261,20.0,4.83558465958
32,20.305,21.0,4.87483076629
33,20.066,20.0,4.83235387777
34,20.046,20.0,4.54245352205
35,20.055,20.0,4.82161539321
36,19.486,20.0,4.57644010121
37,19.669,20.0,4.70057858141
38,19.395,20.0,4.54169296628
39,19.511,20.0,4.68891021454
40,19.208,19.0,4.39576341493
41,19.109,19.0,4.50056874184
42,19.157,19.0,4.41093538833
43,18.89,19.0,4.72693346685
44,18.77,19.0,4.11984222999
45,18.701,19.0,4.468064346
46,18.875,19.0,4.50259647315
47,18.784,19.0,4.34940731595
48,18.439,19.0,4.29118619964
49,18.511,19.0,4.40407527184
50,18.471,19.0,4.5335591978
51,18.339,18.0,4.257943048
52,18.443,19.0,4.1678232928
53,18.149,18.0,4.12780801395
54,18.019,18.0,4.30565198315
55,18.28,19.0,4.25059995765
56,18.107,18.0,4.02014315665
57,17.811,18.0,4.01662532482
58,18.006,18.0,4.27316791151
59,18.216,18.0,4.16645460794
60,17.815,18.0,4.06654337245
61,17.628,18.0,4.30251275419
62,17.663,18.0,4.17461746751
63,17.744,18.0,3.95202024286
64,17.569,18.0,4.12155783655
65,17.688,18.0,4.09422227047
66,17.502,18.0,4.13811502982
67,17.43,17.0,4.11279710173
68,17.423,18.0,3.94817312184
69,17.254,17.0,4.2066000523
70,17.261,17.0,4.06876873268
71,17.475,18.0,4.04195187997
72,17.199,17.0,4.19992845177
73,16.942,17.0,3.99432547497
74,17.16,17.0,3.93934004625
75,17.074,17.0,3.99105549949
76,16.925,17.0,3.93768650352
77,17.104,17.0,3.85294484778
78,16.791,17.0,4.01588333994
79,16.92,17.0,3.98216021777
80,16.906,17.0,3.96625314371
81,16.865,17.0,3.88365485078
82,16.707,17.0,4.04340833951
83,16.788,17.0,3.95057666677
84,16.545,16.0,3.94435989737
85,16.805,17.0,3.82974868627
86,16.683,17.0,3.8176577898
87,16.66,17.0,3.74464951631
88,16.677,17.0,3.83231927167
89,16.42,17.0,3.88633503445
90,16.352,16.0,3.77545970711
91,16.435,17.0,3.73011729038
92,16.362,17.0,3.80801207981
93,16.383,16.5,3.96160459915
94,16.162,16.0,3.83402608233
95,16.208,16.0,3.76280958859
96,16.205,16.0,3.82582997531
97,16.256,16.0,3.77656775393
98,16.171,16.0,3.86493971492
99,16.204,16.0,3.74224317756
100,16.115,16.0,3.82122689722
